,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
0,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(O[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dca9abfb0>,,32,False,False,False,
1,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dca9be390>,,32,False,False,False,
2,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(N([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dca9bc680>,,32,False,False,False,
3,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(Cl)c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dca9d7600>,,32,False,False,False,
4,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(F)c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dca9adcb0>,,32,False,False,False,
5,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dca9d5bc0>,,32,False,False,False,
6,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C#N)c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dca9d53f0>,,32,False,False,False,
7,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C(=O)O[H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dca9d4720>,,32,False,False,False,
8,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(Br)c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcac5abb0>,5.6859,32,True,True,False,
9,[H]N=C1N(C([H])([H])[H])C(=O)C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x147dcb78eb10>,,32,False,False,False,
