,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
0,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](O[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24cf0b0>,,21,False,False,False,
1,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](OC([H])([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24bd030>,,21,False,False,False,
2,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N([H])[H])N1[H],<fegrow.package.RMol object at 0x151af24bf510>,,21,False,False,False,
3,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](Cl)(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24bbab0>,,21,False,False,False,
4,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](F)(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24baa20>,,21,False,False,False,
5,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af24b9300>,,21,False,False,False,
6,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C#N)(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24b35b0>,,21,False,False,False,
7,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C(=O)O[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24b3600>,,21,False,False,False,
8,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](Br)(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24b1e90>,,21,False,False,False,
9,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C(F)(F)F)N1[H],<fegrow.package.RMol object at 0x151af24b3330>,,21,False,False,False,
10,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])(C([H])([H])[H])C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af24b0ef0>,,21,False,False,False,
11,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24af2e0>,,21,False,False,False,
12,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])nc([H])c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24ae020>,,21,False,False,False,
13,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])c([H])nc([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24aea20>,,21,False,False,False,
14,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])C([H])([H])C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af24aed90>,,21,False,False,False,
15,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N(C([H])([H])[H])C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af24abce0>,,21,False,False,False,
16,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](OC([H])([H])C([H])([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24b8180>,,21,False,False,False,
17,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C(=O)N([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24aa8e0>,,21,False,False,False,
18,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])O[H])N1[H],<fegrow.package.RMol object at 0x151af24aa7a0>,,21,False,False,False,
19,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af24a9710>,,21,False,False,False,
20,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])([N+](=O)[O-])N1[H],<fegrow.package.RMol object at 0x151af24aac00>,,21,False,False,False,
